Article Number,Total Words (M),Frequency (F),F/M Ratio
Article No152,76.0,0.0,0.0
Article No153,93.0,0.0,0.0
Article No154,76.0,0.0,0.0
Article No155,66.0,0.0,0.0
Article No156,78.0,0.0,0.0
Article No157,78.0,0.0,0.0
Article No158,88.0,0.0,0.0
Article No159,65.0,0.0,0.0
Article No160,89.0,0.0,0.0
Article No161,63.0,0.0,0.0
Article No162,88.0,0.0,0.0
Article No163,96.0,0.0,0.0
Article No164,42.0,0.0,0.0
Article No165,102.0,0.0,0.0
Article No166,65.0,0.0,0.0
Article No167,100.0,0.0,0.0
Article No168,93.0,0.0,0.0
Article No169,66.0,0.0,0.0
Article No170,70.0,0.0,0.0
Article No171,72.0,0.0,0.0
Article No172,73.0,0.0,0.0
Article No173,78.0,0.0,0.0
Article No174,89.0,0.0,0.0
Article No175,94.0,0.0,0.0
Article No176,100.0,0.0,0.0
Article No177,85.0,0.0,0.0
Article No178,95.0,0.0,0.0
Article No179,86.0,0.0,0.0
Article No180,99.0,0.0,0.0
Article No181,93.0,0.0,0.0
Article No182,76.0,0.0,0.0
Article No183,71.0,0.0,0.0
Article No184,75.0,0.0,0.0
Article No185,76.0,0.0,0.0
Article No186,80.0,0.0,0.0
Article No187,73.0,0.0,0.0
Article No188,82.0,0.0,0.0
Article No189,83.0,0.0,0.0
Article No190,88.0,0.0,0.0
Article No191,73.0,0.0,0.0
Article No192,81.0,0.0,0.0
Article No193,65.0,0.0,0.0
Article No194,104.0,0.0,0.0
Article No195,90.0,0.0,0.0
Article No196,92.0,0.0,0.0
Article No197,75.0,0.0,0.0
Article No198,89.0,0.0,0.0
Article No199,80.0,0.0,0.0
Article No200,73.0,0.0,0.0
Article No201,88.0,0.0,0.0
Article No202,70.0,0.0,0.0
Article No203,98.0,0.0,0.0
Article No204,93.0,1.0,0.010752688172043012
Article No205,101.0,0.0,0.0
Article No206,96.0,0.0,0.0
Article No207,100.0,0.0,0.0
Article No208,88.0,0.0,0.0
Article No209,89.0,0.0,0.0
Article No210,55.0,0.0,0.0
Article No211,96.0,0.0,0.0
Article No212,88.0,0.0,0.0
Article No213,79.0,0.0,0.0
Article No214,88.0,0.0,0.0
Article No215,72.0,3.0,0.041666666666666664
Article No216,72.0,0.0,0.0
Article No217,91.0,0.0,0.0
Article No218,100.0,2.0,0.02
Article No219,80.0,1.0,0.0125
Article No220,86.0,0.0,0.0
Article No221,83.0,0.0,0.0
Article No222,53.0,0.0,0.0
Article No223,88.0,3.0,0.03409090909090909
Article No224,105.0,0.0,0.0
Article No225,78.0,0.0,0.0
Article No226,90.0,0.0,0.0
Article No227,57.0,0.0,0.0
Article No228,84.0,0.0,0.0
Article No229,61.0,0.0,0.0
Article No230,67.0,0.0,0.0
Article No231,85.0,0.0,0.0
Article No232,86.0,0.0,0.0
Article No233,96.0,0.0,0.0
Article No234,76.0,0.0,0.0
Article No235,74.0,0.0,0.0
Article No236,75.0,0.0,0.0
Article No237,89.0,0.0,0.0
Article No238,83.0,2.0,0.024096385542168676
Article No239,72.0,0.0,0.0
Article No240,62.0,0.0,0.0
Article No241,65.0,0.0,0.0
Article No242,70.0,0.0,0.0
Article No243,89.0,2.0,0.02247191011235955
Article No244,70.0,0.0,0.0
Article No245,82.0,0.0,0.0
Article No246,86.0,0.0,0.0
Article No247,74.0,0.0,0.0
Article No248,109.0,0.0,0.0
Article No249,84.0,0.0,0.0
Article No250,91.0,0.0,0.0
Article No251,102.0,0.0,0.0
Article No252,82.0,0.0,0.0
Article No253,73.0,0.0,0.0
Article No254,95.0,0.0,0.0
Article No255,87.0,0.0,0.0
Article No256,94.0,2.0,0.02127659574468085
Article No257,82.0,0.0,0.0
Article No258,86.0,0.0,0.0
Article No259,76.0,3.0,0.039473684210526314
Article No260,82.0,0.0,0.0
Article No261,110.0,0.0,0.0
Article No262,72.0,0.0,0.0
Article No263,74.0,2.0,0.02702702702702703
Article No264,73.0,0.0,0.0
Article No265,74.0,0.0,0.0
Article No266,77.0,0.0,0.0
Article No267,75.0,0.0,0.0
Article No268,91.0,0.0,0.0
Article No269,84.0,0.0,0.0
Article No270,88.0,3.0,0.03409090909090909
Article No271,89.0,0.0,0.0
Article No272,89.0,4.0,0.0449438202247191
Article No273,74.0,2.0,0.02702702702702703
Article No274,92.0,0.0,0.0
Article No275,96.0,0.0,0.0
Article No276,99.0,0.0,0.0
Article No277,82.0,0.0,0.0
Article No278,85.0,0.0,0.0
Article No279,93.0,0.0,0.0
Article No280,75.0,0.0,0.0
Article No281,72.0,0.0,0.0
Article No282,73.0,1.0,0.0136986301369863
Article No283,79.0,0.0,0.0
Article No284,69.0,2.0,0.028985507246376812
Article No285,95.0,0.0,0.0
Article No286,98.0,0.0,0.0
Article No287,82.0,3.0,0.036585365853658534
Article No288,93.0,0.0,0.0
Article No289,64.0,1.0,0.015625
Article No290,97.0,3.0,0.030927835051546393
Article No291,85.0,0.0,0.0
Article No292,68.0,0.0,0.0
Article No293,77.0,3.0,0.03896103896103896
Article No294,82.0,0.0,0.0
Article No295,78.0,0.0,0.0
Article No296,72.0,2.0,0.027777777777777776
Article No297,84.0,3.0,0.03571428571428571
Article No298,77.0,0.0,0.0
Article No299,86.0,0.0,0.0
Article No300,76.0,1.0,0.013157894736842105
Article No301,93.0,0.0,0.0
Article No302,100.0,0.0,0.0
Article No303,103.0,0.0,0.0
Article No304,93.0,0.0,0.0
Article No305,101.0,0.0,0.0
Article No306,95.0,0.0,0.0
Article No307,90.0,4.0,0.044444444444444446
Article No308,99.0,0.0,0.0
Article No309,88.0,0.0,0.0
Article No310,101.0,1.0,0.009900990099009901
Article No311,93.0,0.0,0.0
Article No312,98.0,0.0,0.0
Article No313,98.0,0.0,0.0
Article No314,93.0,1.0,0.010752688172043012
Article No315,94.0,0.0,0.0
Article No316,102.0,0.0,0.0
Article No317,102.0,0.0,0.0
Article No318,71.0,0.0,0.0
Article No319,102.0,0.0,0.0
Article No320,86.0,0.0,0.0
Article No321,97.0,1.0,0.010309278350515464
Article No322,72.0,0.0,0.0
Article No323,88.0,0.0,0.0
Article No324,98.0,0.0,0.0
Article No325,83.0,0.0,0.0
Article No326,76.0,0.0,0.0
Article No327,80.0,0.0,0.0
Article No328,82.0,3.0,0.036585365853658534
Article No329,115.0,0.0,0.0
Article No330,101.0,0.0,0.0
Article No331,96.0,0.0,0.0
Article No332,52.0,0.0,0.0
Article No333,71.0,0.0,0.0
Article No334,74.0,0.0,0.0
Article No335,84.0,0.0,0.0
Article No336,103.0,0.0,0.0
Article No337,73.0,3.0,0.0410958904109589
Article No338,81.0,0.0,0.0
Article No339,96.0,2.0,0.020833333333333332
Article No340,75.0,0.0,0.0
Article No341,44.0,0.0,0.0
Article No342,78.0,0.0,0.0
Article No343,105.0,0.0,0.0
Article No344,68.0,0.0,0.0
Article No345,74.0,0.0,0.0
Article No346,72.0,0.0,0.0
Article No347,79.0,0.0,0.0
Article No348,65.0,0.0,0.0
Article No349,91.0,0.0,0.0
Article No350,80.0,0.0,0.0
Article No351,66.0,1.0,0.015151515151515152
Article No352,72.0,0.0,0.0
Article No353,101.0,0.0,0.0
Article No354,86.0,0.0,0.0
Article No355,85.0,1.0,0.011764705882352941
Article No356,85.0,0.0,0.0
Article No357,53.0,0.0,0.0
Article No358,82.0,0.0,0.0
Article No359,79.0,0.0,0.0
Article No360,78.0,0.0,0.0
Article No361,91.0,2.0,0.02197802197802198
Article No362,91.0,0.0,0.0
Article No363,61.0,0.0,0.0
Article No364,98.0,0.0,0.0
Article No365,88.0,0.0,0.0
Article No366,66.0,1.0,0.015151515151515152
Article No367,96.0,0.0,0.0
Article No368,105.0,0.0,0.0
Article No369,94.0,0.0,0.0
Article No370,97.0,0.0,0.0
Article No371,84.0,0.0,0.0
Article No372,105.0,0.0,0.0
Article No373,64.0,1.0,0.015625
Article No374,88.0,0.0,0.0
Article No375,97.0,0.0,0.0
Article No376,99.0,2.0,0.020202020202020204
Article No377,118.0,0.0,0.0
Article No378,66.0,0.0,0.0
Article No379,101.0,0.0,0.0
Article No380,81.0,0.0,0.0
Article No381,83.0,0.0,0.0
Article No382,96.0,4.0,0.041666666666666664
Article No383,94.0,0.0,0.0
Article No384,112.0,1.0,0.008928571428571428
Article No385,55.0,0.0,0.0
Article No386,68.0,0.0,0.0
Article No387,68.0,0.0,0.0
Article No388,70.0,0.0,0.0
Article No389,94.0,4.0,0.0425531914893617
Article No390,96.0,0.0,0.0
Article No391,65.0,0.0,0.0
Article No392,90.0,1.0,0.011111111111111112
Article No393,89.0,0.0,0.0
Article No394,89.0,0.0,0.0
Article No395,99.0,0.0,0.0
Article No396,103.0,0.0,0.0
Article No397,100.0,0.0,0.0
Article No398,92.0,0.0,0.0
Article No399,82.0,0.0,0.0
Article No400,90.0,0.0,0.0
Article No401,99.0,1.0,0.010101010101010102
Article No402,100.0,1.0,0.01
Article No403,83.0,1.0,0.012048192771084338
Article No404,92.0,3.0,0.03260869565217391
Article No405,83.0,2.0,0.024096385542168676
Article No406,111.0,1.0,0.009009009009009009
Article No407,104.0,1.0,0.009615384615384616
Article No408,95.0,0.0,0.0
Article No409,99.0,2.0,0.020202020202020204
Article No410,93.0,1.0,0.010752688172043012
Article No411,99.0,1.0,0.010101010101010102
Article No412,79.0,1.0,0.012658227848101266
Article No413,94.0,1.0,0.010638297872340425
Article No414,90.0,0.0,0.0
Article No415,96.0,0.0,0.0
Article No416,86.0,1.0,0.011627906976744186
Article No417,104.0,1.0,0.009615384615384616
Article No418,92.0,0.0,0.0
Article No419,81.0,0.0,0.0
Article No420,91.0,1.0,0.01098901098901099
Article No421,105.0,1.0,0.009523809523809525
Article No422,98.0,0.0,0.0
Article No423,81.0,0.0,0.0
Article No424,79.0,0.0,0.0
Article No425,104.0,0.0,0.0
Article No426,87.0,0.0,0.0
Article No427,116.0,0.0,0.0
Article No428,109.0,0.0,0.0
Article No429,121.0,3.0,0.024793388429752067
Article No430,98.0,0.0,0.0
Article No431,67.0,0.0,0.0
Article No432,75.0,0.0,0.0
Article No433,95.0,0.0,0.0
Article No434,97.0,0.0,0.0
Article No435,94.0,2.0,0.02127659574468085
Article No436,100.0,1.0,0.01
Article No437,96.0,2.0,0.020833333333333332
Article No438,115.0,1.0,0.008695652173913044
Article No439,99.0,0.0,0.0
Article No440,75.0,0.0,0.0
Article No441,83.0,0.0,0.0
Article No442,73.0,3.0,0.0410958904109589
Article No443,103.0,0.0,0.0
Article No444,67.0,0.0,0.0
Article No445,91.0,0.0,0.0
Article No446,70.0,0.0,0.0
Article No447,73.0,1.0,0.0136986301369863
Article No448,79.0,1.0,0.012658227848101266
Article No449,83.0,2.0,0.024096385542168676
Article No450,61.0,0.0,0.0
Article No451,90.0,2.0,0.022222222222222223
Article No452,98.0,0.0,0.0
Article No453,99.0,2.0,0.020202020202020204
Article No454,55.0,2.0,0.03636363636363636
Article No455,99.0,0.0,0.0
Article No456,81.0,0.0,0.0
Article No457,102.0,1.0,0.00980392156862745
Article No458,113.0,0.0,0.0
Article No459,67.0,1.0,0.014925373134328358
Article No460,87.0,0.0,0.0
Article No461,94.0,0.0,0.0
Article No462,69.0,0.0,0.0
Article No463,80.0,1.0,0.0125
Article No464,79.0,2.0,0.02531645569620253
Article No465,101.0,0.0,0.0
Article No466,69.0,0.0,0.0
Article No467,69.0,0.0,0.0
Article No468,73.0,0.0,0.0
Article No469,82.0,0.0,0.0
Article No470,65.0,0.0,0.0
Article No471,92.0,1.0,0.010869565217391304
Article No472,103.0,1.0,0.009708737864077669
Article No473,98.0,1.0,0.01020408163265306
Article No474,65.0,0.0,0.0
Article No475,85.0,2.0,0.023529411764705882
Article No476,69.0,1.0,0.014492753623188406
Article No477,97.0,1.0,0.010309278350515464
Article No478,69.0,0.0,0.0
Article No479,94.0,1.0,0.010638297872340425
Article No480,80.0,1.0,0.0125
Article No481,75.0,0.0,0.0
Article No482,68.0,0.0,0.0
Article No483,79.0,2.0,0.02531645569620253
Article No484,102.0,0.0,0.0
Article No485,82.0,2.0,0.024390243902439025
Article No486,92.0,0.0,0.0
Article No487,91.0,0.0,0.0
Article No488,93.0,2.0,0.021505376344086023
Article No489,93.0,3.0,0.03225806451612903
Article No490,73.0,0.0,0.0
Article No491,70.0,3.0,0.04285714285714286
Article No492,99.0,2.0,0.020202020202020204
Article No493,92.0,4.0,0.043478260869565216
Article No494,66.0,0.0,0.0
Article No495,67.0,1.0,0.014925373134328358
Article No496,83.0,0.0,0.0
Article No497,89.0,0.0,0.0
Article No498,74.0,1.0,0.013513513513513514
Article No499,69.0,2.0,0.028985507246376812
Article No500,86.0,0.0,0.0
Article No501,95.0,1.0,0.010526315789473684
Article No502,93.0,0.0,0.0
Article No503,96.0,0.0,0.0
Article No504,96.0,2.0,0.020833333333333332
Article No505,64.0,0.0,0.0
Article No506,65.0,0.0,0.0
Article No507,69.0,0.0,0.0
Article No508,90.0,1.0,0.011111111111111112
Article No509,81.0,0.0,0.0
Article No510,74.0,0.0,0.0
Article No511,96.0,4.0,0.041666666666666664
Article No512,52.0,0.0,0.0
Article No513,92.0,0.0,0.0
Article No514,63.0,0.0,0.0
Article No515,99.0,0.0,0.0
Article No516,90.0,0.0,0.0
Article No517,97.0,0.0,0.0
Article No518,54.0,2.0,0.037037037037037035
Article No519,75.0,0.0,0.0
Article No520,68.0,0.0,0.0
Article No521,78.0,0.0,0.0
Article No522,64.0,0.0,0.0
Article No523,68.0,1.0,0.014705882352941176
Article No524,82.0,0.0,0.0
Article No525,76.0,0.0,0.0
Article No526,83.0,1.0,0.012048192771084338
Article No527,77.0,1.0,0.012987012987012988
Article No528,73.0,0.0,0.0
Article No529,77.0,0.0,0.0
Article No530,78.0,1.0,0.01282051282051282
Article No531,77.0,0.0,0.0
Article No532,77.0,0.0,0.0
Article No533,75.0,0.0,0.0
Article No534,76.0,4.0,0.05263157894736842
Article No535,86.0,0.0,0.0
Article No536,92.0,0.0,0.0
Article No537,87.0,0.0,0.0
Article No538,84.0,0.0,0.0
Article No539,78.0,0.0,0.0
Article No540,68.0,0.0,0.0
Article No541,96.0,0.0,0.0
Article No542,67.0,0.0,0.0
Article No543,77.0,0.0,0.0
Article No544,70.0,0.0,0.0
Article No545,94.0,0.0,0.0
Article No546,91.0,0.0,0.0
Article No547,98.0,0.0,0.0
Article No548,73.0,0.0,0.0
Article No549,81.0,0.0,0.0
Article No550,81.0,0.0,0.0
Article No551,76.0,0.0,0.0
Article No552,76.0,0.0,0.0
Article No553,69.0,0.0,0.0
Article No554,78.0,0.0,0.0
Article No555,79.0,0.0,0.0
Article No556,91.0,0.0,0.0
Article No557,92.0,0.0,0.0
Article No558,97.0,0.0,0.0
Article No559,71.0,4.0,0.056338028169014086
Article No560,84.0,0.0,0.0
Article No561,64.0,0.0,0.0
Article No562,94.0,0.0,0.0
Article No563,89.0,0.0,0.0
Article No564,78.0,0.0,0.0
Article No565,81.0,0.0,0.0
Article No566,66.0,0.0,0.0
Article No567,77.0,0.0,0.0
Article No568,96.0,0.0,0.0
Article No569,82.0,0.0,0.0
Article No570,91.0,1.0,0.01098901098901099
Article No571,83.0,2.0,0.024096385542168676
Article No572,85.0,0.0,0.0
Article No573,67.0,0.0,0.0
Article No574,88.0,4.0,0.045454545454545456
Article No575,90.0,0.0,0.0
Article No576,75.0,0.0,0.0
Article No577,91.0,0.0,0.0
Article No578,83.0,0.0,0.0
Article No579,84.0,0.0,0.0
Article No580,67.0,0.0,0.0
Article No581,69.0,0.0,0.0
Article No582,68.0,0.0,0.0
Article No583,84.0,0.0,0.0
Article No584,71.0,0.0,0.0
Article No585,75.0,0.0,0.0
Article No586,72.0,2.0,0.027777777777777776
Article No587,96.0,0.0,0.0
Article No588,75.0,0.0,0.0
Article No589,89.0,0.0,0.0
Article No590,80.0,0.0,0.0
Article No591,84.0,0.0,0.0
Article No592,81.0,0.0,0.0
Article No593,82.0,0.0,0.0
Article No594,93.0,0.0,0.0
Article No595,74.0,0.0,0.0
Article No596,88.0,2.0,0.022727272727272728
Article No597,80.0,0.0,0.0
Article No598,78.0,0.0,0.0
Article No599,74.0,0.0,0.0
Article No600,66.0,0.0,0.0
Article No601,72.0,0.0,0.0
Article No602,99.0,0.0,0.0
Article No603,95.0,0.0,0.0
Article No604,99.0,0.0,0.0
Article No605,92.0,0.0,0.0
Article No606,93.0,0.0,0.0
Article No607,103.0,0.0,0.0
Article No608,104.0,0.0,0.0
Article No609,101.0,0.0,0.0
Article No610,96.0,0.0,0.0
Article No611,90.0,0.0,0.0
Article No612,103.0,0.0,0.0
Article No613,96.0,2.0,0.020833333333333332
Article No614,88.0,0.0,0.0
Article No615,72.0,0.0,0.0
Article No616,89.0,0.0,0.0
Article No617,110.0,0.0,0.0
Article No618,102.0,0.0,0.0
Article No619,89.0,0.0,0.0
Article No620,91.0,0.0,0.0
Article No621,83.0,0.0,0.0
Article No622,52.0,1.0,0.019230769230769232
Article No623,83.0,0.0,0.0
Article No624,74.0,0.0,0.0
Article No625,92.0,1.0,0.010869565217391304
Article No626,94.0,3.0,0.031914893617021274
Article No627,87.0,0.0,0.0
Article No628,94.0,0.0,0.0
Article No629,110.0,0.0,0.0
Article No630,102.0,3.0,0.029411764705882353
Article No631,92.0,0.0,0.0
Article No632,103.0,0.0,0.0
Article No633,94.0,0.0,0.0
Article No634,98.0,0.0,0.0
Article No635,100.0,0.0,0.0
Article No636,53.0,0.0,0.0
Article No637,96.0,0.0,0.0
Article No638,59.0,3.0,0.05084745762711865
Article No639,99.0,0.0,0.0
Article No640,64.0,0.0,0.0
Article No641,86.0,1.0,0.011627906976744186
Article No642,100.0,0.0,0.0
Article No643,57.0,0.0,0.0
Article No644,104.0,0.0,0.0
Article No645,98.0,0.0,0.0
Article No646,94.0,2.0,0.02127659574468085
Article No647,95.0,0.0,0.0
Article No648,99.0,1.0,0.010101010101010102
Article No649,88.0,0.0,0.0
Article No650,94.0,0.0,0.0
Article No651,94.0,0.0,0.0
Article No652,97.0,3.0,0.030927835051546393
Article No653,92.0,0.0,0.0
Article No654,99.0,0.0,0.0
Article No655,97.0,1.0,0.010309278350515464
Article No656,106.0,0.0,0.0
Article No657,94.0,0.0,0.0
Article No658,99.0,0.0,0.0
Article No659,96.0,2.0,0.020833333333333332
Article No660,91.0,1.0,0.01098901098901099
Article No661,93.0,0.0,0.0
Article No662,92.0,2.0,0.021739130434782608
Article No663,90.0,0.0,0.0
Article No664,99.0,3.0,0.030303030303030304
Article No665,103.0,0.0,0.0
Article No666,93.0,3.0,0.03225806451612903
Article No667,98.0,0.0,0.0
Article No668,94.0,0.0,0.0
Article No669,96.0,0.0,0.0
Article No670,102.0,0.0,0.0
Article No671,104.0,0.0,0.0
Article No672,109.0,0.0,0.0
Article No673,95.0,0.0,0.0
Article No674,98.0,5.0,0.05102040816326531
Article No675,103.0,1.0,0.009708737864077669
Article No676,92.0,0.0,0.0
Article No677,100.0,0.0,0.0
Article No678,98.0,0.0,0.0
Article No679,75.0,0.0,0.0
Article No680,95.0,6.0,0.06315789473684211
Article No681,92.0,1.0,0.010869565217391304
Article No682,97.0,0.0,0.0
Article No683,92.0,0.0,0.0
Article No684,55.0,1.0,0.01818181818181818
Article No685,90.0,0.0,0.0
Article No686,100.0,6.0,0.06
Article No687,89.0,0.0,0.0
Article No688,90.0,2.0,0.022222222222222223
Article No689,89.0,3.0,0.033707865168539325
Article No690,44.0,0.0,0.0
Article No691,107.0,0.0,0.0
Article No692,95.0,0.0,0.0
Article No693,57.0,0.0,0.0
Article No694,99.0,0.0,0.0
Article No695,87.0,3.0,0.034482758620689655
Article No696,94.0,4.0,0.0425531914893617
Article No697,88.0,1.0,0.011363636363636364
Article No698,97.0,0.0,0.0
Article No699,107.0,0.0,0.0
Article No700,99.0,2.0,0.020202020202020204
