Tweet,Message/tweets,Match,Polarity
17.0,he knows hes missed his chance even though hes been in love with hinata since first year but he didnt realize the boy hinata has been dating even goes to brazil too for university and kageyama doesnt talk to hinata for a long time until hinatas bf texts kageyama,"missed,love",neutral
18.0,universemadeus1 KNUST de3 we for close it down ooapii Dede hunu nkoaa 3ne destruction that u people are good atCongrats Universit,"destruction,good",neutral
19.0,wsuinvolvement First up is Jane who works with our Leadership programs Jane is a Junior from Wichita studying Strategic Communicati,works,positive
20.0,theJagmeetSingh Sending best wishes to all celebrating Easter in Canada amp around the worldWe hope that all Canadians no matter thei,best,positive
21.0,ChidiNwatu realDonaldTrump People Trump has blamed for his deadly incompetence WHO China Media Canada Governors D,"Trump,deadly,incompetence",negative
22.0,NathanLerner Stimulus packages around the worldUK 80 of workers salariesDenmark 75 of workers salariesS Korea 70 of wor,,neutral
23.0,OPEC and nonOPEC members have agreed on a historic deal to cut production by nearly 10 million barrels per day,,neutral
24.0,hansbadvi When there is no Education in universities and all institutes University honor should give some relaxation to Students in fe,honor,positive
25.0,globalnews With regard to COVID19 there has been a failure of early warning and we are reaping the consequences of that one secu,"regard,failure,warning",negative
26.0,adetolaov and OPEC OIL CUT DEAL has been AGREEDDetails OPEC will cut barrels a day below proposed 10m Bra,,neutral
27.0,PAldousMusic PPHallam You can by calculating it per 100000 peopleCanada deaths per 100000Ireland deaths per 10000,,neutral
28.0,nimmityanna Im especially proud that AB has sent extra PPE to some provinces However Im not proud of the fact that our Prime Mi,"proud,proud",positive
29.0,BJones50211754 mchatenay jkenney needed coverage and thinks the rest of Canada is stupid But ultimately he wants pipelines and ma,stupid,negative
30.0,emeczy Rwanda is building its own Silicon Valley in partnership with Carnegie Mellon University It is called Kigali Innovation City,Innovation,positive
31.0,Canada We wish everyone a happy and healthy Easter Stay in contact with those you care about host a virtual Easter dinner set,"happy,healthy",positive
32.0,Newsweek China is censoring research on COVID19 origins deleted page on Wuhan university website suggests,,neutral
33.0,Noahpinion And CA has a well functioning OCare exchange Not single payer like Canada but easy to use A family member got insurance there after losing her job in about 30 minutes,"well,like,easy,losing",positive
34.0,umarsaif On this day in 1998 two students at Stanford University Sergey Brin and Larry Page published a research paper that b,,neutral
35.0,bocanut bandittuco So in the greatest test of his generation Pierre Trudeau basically shrugged his shoulders BTW there was plenty of evidence for the Nazis anti Semitism before the Holocaust Kristallnacht being the most obvious Shame on Canada for ever electing him PM,"greatest,Shame",neutral
36.0,iceblueaccent robbristowCA mrbitter17 JustinTrudeau Most people dont realize how many resources were used amp preparationmitigation scenarios done for sarin in the major cities in Canada The public didnt need to know because it was at that time only a very real potential threat,threat,negative
37.0,CBCAlerts Montreal police tell CBC News that the major crimes unit is investigating a Dorval longterm care home after 31 deaths sinc,,neutral
38.0,MrDash109 From an economic standpoint Canadas Conservative Reform Party no matter their leader STILL runs on the failed Ronny Reag,"Conservative,Reform,failed",negative
39.0,FLOTUS Happy Easter to the Trump family and every AmericanLove from Canada,"Happy,Trump",positive
40.0,JaimeleeRattray Canada and New Zealand no one left without RishiSunak hmtreasury lets create a scheme that sees hundreds of th,,neutral
41.0,BorisJohnson Very happy to hear of your recovery CanadaUK proud,"happy,recovery,proud",positive
42.0,Dominoes Canada be like Sorry we dont offer online payment and dont plan on itpandemic happensDominoes Canada We now offer online payment Revolutionize the way you order pizza,"like,Sorry,Revolutionize",positive
43.0,LauraOsnes HAPPY EASTER My friends in Canada you can catch hallmarkchannels InTheKeyOfLove today at 6pm ET or tomorrow at 4am,HAPPY,positive
44.0,Newsweek China is censoring research on COVID19 origins deleted page on Wuhan university website suggests,,neutral
45.0,JustinTrudeau OSMconcerts CanadianPM JustinTrudeauVoting you out of office as soon as possible would be good for the morale of Canada,good,positive
46.0,Serenawrites JustinTrudeau What MORE DO YOU WANT You get to freely practice your religion anytime anywhere God doesnt need this and you should be grateful you live in Canada and count your blessings HaughtyCoronaChristians,grateful,positive
47.0,rmillo4 Franktmcveety DevinSmith1976 Thank you Trudeau You have scared away investment taxed farmers into bankruptcy driven the O,"Thank,scared",neutral
48.0,RealSaavedra population 328000000FranceGermanyItaly population 324000000Coronavirus cases 526396,,neutral
49.0,KellicAngelo Is ultabeauty still delivering to canadasorry shipping lol placed an order just wondering if Im gonna have to wait mo,,neutral
50.0,CBCAlerts More CBCNews Global pact forged to contain oil price crash,"forged,crash",negative
51.0,BBCWorld Dr Fauci who is leading the US response to coronavirus says the country could have saved lives with earlier action http,leading,positive
52.0,RealSaavedra population 328000000FranceGermanyItaly population 324000000Coronavirus cases 526396,,neutral
53.0,JakeFriel1 I would like to announce that Im 110 committed to St Ambrose University to continue my academic and athletic career Go,like,positive
54.0,AlanCane604 Its just incredibly unprofessional Im no prude but FFS Representing Canada in the position she holds she MUST maintain a high level of professionalismand this is bottom of the outhouse low level,incredibly,positive
55.0,PUBGUS Were celebrating the launch of the North American PUBG Twitter with a giveaway To enter follow PUBGUS and this for a c,,neutral
56.0,michaeljohns Question Can we cease repeating this lie that healthcare in Canada is freethe average Canadian pays US690 pe,lie,negative
57.0,In exactly the same way as the university postal service was merged with the permutation,,neutral
58.0,dbongino Wow I Love my CountryCanada,"Wow,Love",positive
59.0,When there is no Education in universities and all institutes University honor should give some relaxation to Students in feeStudentsRejectUndueFee,honor,positive
60.0,cookbeastio raises hand slowly i need all the help I can get in canada,slowly,negative
61.0,BhavikaKapoor5 Canada PM promised Canadian 2000 each unemployed almost Rs 110000 per month during lockdown UK Govt promised Pound,"promised,unemployed,promised",positive
62.0,rachelmendleson The first onreserve death from COVID19 has made the concerns of Indigenous leaders amp Cdn medical officials more urge,"death,concerns",negative
63.0,BroadwayWorld In lieu of their cancelled production of Spring Awakening watch students from Appalachian State University perform The,,neutral
64.0,AmySiskind Im from Canada as well and I concur,well,positive
65.0,Nairametrics BREAKING OPEC Alliance US Russia Canada Mexico reach historic deal to cut million bpd,BREAKING,negative
66.0,87The older one of the brothers doesnt know what to do anymore Jeongguks friends are a disease and he needs to cure it no matter howTaehyung has arrived Seoul two weeks ago is adjusting to everything first before he needs to go to the university,cure,positive
67.0,RealSaavedra population 328000000FranceGermanyItaly population 324000000Coronavirus cases 526396,,neutral
68.0,chigrl Oil Price War Ends With Historic OPEC Deal to Cut ProductionOPEC alliance agrees to cut production barrels a dayThe,,neutral
69.0,anitaleirfall AmcCritique University professor and his colleague misbehaved in a livestream while students observing it,,neutral
70.0,BBCWorld Dr Fauci who is leading the US response to coronavirus says the country could have saved lives with earlier action http,leading,positive
71.0,BBCWorld Dr Fauci who is leading the US response to coronavirus says the country could have saved lives with earlier action http,leading,positive
72.0,oosawnt And also why Brasil and Canada are both ranked 8,,neutral
73.0,templemedschool Go behind the scenes at our COVID19 hospital in this extraordinary PhillyInquirer article,extraordinary,positive
74.0,Hw3NigyimiiBi University of Ghana scientists close to find corona cureThe cure de3 dem go get am oo but who u go test on Cha,cure,positive
75.0,TRAPTOFFICIAL aeshadonald tilianpearson Fair enough I still fuck with your guys tunes hope you come hit western Canada sometime soon,"Fair,enough,fuck",positive
76.0,globeandmail Coronavirus a failure of early warning for Canada intelligence expert says,"failure,warning,intelligence",negative
77.0,ladeedafarzana Delhi police continues to hound Students and Social Activists SafooraZargar who actively led AntiCAA protests in j,"led,protests",neutral
78.0,BBCWorld Dr Fauci who is leading the US response to coronavirus says the country could have saved lives with earlier action http,leading,positive
79.0,derickinthecity JuliusGoat rebelcinder WHO ready to be deployed when needed And what you might not be realizing you there in Canada is that both parties in America but especially the disgusting GOP have entrenched a healthcare system where profit is THE main driver not quality of outcomes,"ready,disgusting",neutral
80.0,Stars34250346 JattSardaar I forgot to tell u hindu ek sikh baba ko bahut mante hai Rajput aur brahman unke bahut jada follow karte te Nirankar babaji sunha hoga aapne he died in road accident in canada few yrs back Still hindu remembers him and some of my relatives are hardcore followers of him,died,negative
81.0,JackieP Iromg She hardly spent any time with the Royal Family in fact hardly in this country There is no way she could say ver,,neutral
82.0,QammarA90761692 StudentsRejectUndueFeeHigher education in Pakistan shame on u university mafia and hecpkofficial ShafqatMahmoo,shame,negative
83.0,SouthEastARA Hey I did Nazi TPUSA was opening a new chapter at EthnoState Universitycharliekirk11 way to take the MaskOff o,,neutral
84.0,taylormackreads tatiibm Ill come to Canada and burn it myself,burn,negative
85.0,Rae0014 Indeed There have always been ministers in charge but their rules have always been different from general Canadas,,neutral
86.0,Kiqk01 incicretacious DrTedros the little wimp switched his account to private anyway i sent screenshots of his racial insults to that Saarland University in Germany You never know maybe he really studies there,insults,negative
87.0,HerbologyN universityen SpokespersonCHN China is going to pay big for their lousy handling of this virus and then trying to cover it up by hiring more liars like you to spread more lies in our country Go home you government spy,"lousy,virus,liars,like,lies",negative
88.0,realTuckFrumper Is this the intuition that started Trump University Or the intuition that started Trump Steaks Trump Casinos Trump Charities I just want to try and get ahead of how many people hell kill with his intuition amp metrics realDonaldTrump is DangerousToTheCitizens Shameful,"Trump,Trump,Trump,Trump,hell,kill,Shameful",positive
89.0,obviouslyylarry sm au An au where Eleanor Cadler Princess Park Universitys slut lives up to her title and cheats on Loui,"slut,cheats",negative
90.0,COVID19 a failure of early warning for Canada intelligence expert says,"failure,warning,intelligence",negative
91.0,My EDM EASTER EDmSTER has just gotten ALOT better thanks 2 Di Ysouth cause he just gave the BEST EDmSTER gift EVER hours Easter Quarantine Set by Di Ysouth HOUSE MUSIC on SoundCloud TORONTO CANADA is sending U EDMfamily DRAGANslaying,"better,BEST",positive
92.0,Canada Emergency Wage Subsidy CEWS now approved as Canadas COVID19 Emergency Response Act No 2 receives Royal Assent,"Emergency,Emergency",negative
93.0,Today we would like to introduce you our qualified orthodontist Dr Manish Patel graduated from New York UniversityLearn more on our website,"like,qualified",positive
94.0,I remember how my mother used to be tribal and all I kept preaching the scriptures for her and told her one day youd see that God is in all of humanity and boom my kid sister got her full school fees for her university levels from a yoruba man and her wheelchairs from a delta,boom,positive
95.0,BruceDawson0xB My daughter lives in Canada and applied for the COVID19 benefit on Tuesday It took two minutes to apply The first pa,benefit,positive
96.0,Deepi29488105 Because I was in a protest against university officials,protest,negative
97.0,FarlaneTeri laineydoyle Its a triangle between No 10 MSM and BBC of people who went to schooluniversity and work and socialise tog,work,positive
98.0,Deskprotestor I cant believe this Canada is using the pandemic to help Iran get away with shooting down the Ukrainian flight Nothin,,neutral
99.0,TIinExile Screenshots in the above tweets have been excerpted from the book Roots of North Indian Shiism in Iran and Iraq by JRI C,,neutral
100.0,NickPratch25 I am excited to announce I will be continuing to play the sport I love at Illinois Wesleyan University I would like to t,"excited,love,like",positive
101.0,ubcscience Join us for an inspiring session with prominent life scientists and Canada Gairdner Award Recipients Kim Nasmyth and Gregor,"inspiring,prominent,Award",positive
102.0,avenqelic i know its canada so maybe british columbia,,neutral
103.0,this is open to imoos so if you would like to order please dm me this is the bizent ver one so it will include the photo ticket europecanadaUSanywhere please feel free to dm me for any enquiries,"like,free",positive
104.0,Global pact forged to contain oil price crash,"forged,crash",negative
105.0,liberalparty As Canada confronts this crisis we are all called to serve We must be there for each other,crisis,negative
106.0,Happy Easter We know that it can be a difficult day away from loved ones If you need to talk text SUPPO to 258258 from anywhere in Canada or visit and click on Chat Now happyeaster stayhome selfisolation positivevibes staypositive wevegotthis,"Happy,difficult,loved",positive
107.0,GhLawTrends Are you concerned about the constitutional implications if presidential elections are not held within 7th Sep amp 7th Dec o,concerned,negative
108.0,BenTice3 upweekly Geckos420 I retired from education after almost 40 years taught elementary to university students was an admini,,neutral
109.0,BBCWorld Dr Fauci who is leading the US response to coronavirus says the country could have saved lives with earlier action http,leading,positive
110.0,cannabis weed cbd Sproutly Provides Business Update and Strategy for Custom Formulations VANCOUVER British ColumbiaBUSINESS WIRESproutly Canada Inc CSE SPR OTCQB SRUTF FSE 38G Sproutly or the cannabiscommunity,weed,negative
111.0,DripBoy10 The way the university of Ghana dey trend afiga anoda leak oh abi them de3 lol,leak,negative
112.0,realDonaldTrump Happy Easter to those who have lost someone because Trump didnt act quickly Im sure itll be a happy one,"Happy,lost,Trump,happy",positive
113.0,Antique Georgian Cut Steel Shoe Buckle eBay USACANADAAUSTRALIANEW ZEALAND,Buckle,negative
114.0,fehrsam77 Just found out that on Monday residents in the Philippines can put their names forward for a plane set for Canada It is Ap,,neutral
115.0,BBCWorld Dr Fauci who is leading the US response to coronavirus says the country could have saved lives with earlier action http,leading,positive
116.0,SouthernUBR Southern University alum and founder of jiggAerobics Ladonte Lotts be on Shark Tank April 17 at 700 CST WeAreS,"Shark,Tank",negative
117.0,UKEtsy HandmadeInUK Double Strand Sky Blue Crackle Glass Bead Bracelet 10 Free UK shippingAdd 2 to ship to US Canada and ac,Free,positive
118.0,WorldPressPhoto Production of the Week Battleground PolyU by djclarkChinaDaily is a 360 degree experience that immerses the vie,,neutral
119.0,globaltimesnews Lingbo Gate at Wuhan University a popular scenic spot experienced a surge in visitors during the first weekend after,"popular,scenic",positive
120.0,gmtyas Natalia01Mateo And then theres this The timing of the first outbreak seems quite close to them retur,outbreak,negative
121.0,Wow This is such a bad take Must be a Fart University honors student,"Wow,bad",neutral
122.0,Chopped Canada S01 E02 on TV Time,,neutral
123.0,NathanLerner Stimulus packages around the worldUK 80 of workers salariesDenmark 75 of workers salariesS Korea 70 of wor,,neutral
124.0,VikramArora20 Ranjit8902371 MADHANMOHANS3 HEMAN88 melwin23088628 Monica10010 smritiirani sharmarekha unwomenindia SabharwalAmiet gulabanshul SriRudyBABA Rameeshrms PMOIndia AmitShah AmitShahOffice DeepikaBhardwaj cskkanu ANI wisehussein perincherypaul VijaykantMotir2 MisandryKills imramra DovariNaresh Gameof498A rajyasabhatv loksabhatv TheHaryanavi KrishVerma786 MirchiJeeturaaj ravishndtv KishoreAjwani dna DeepakP29494612 mkatju pkanthi Married2Martyr Vijaythakkar RajNgc genocideofindi1 ShivankDixit15 DrKapilKakar ResonableI NaveenMRA NaveenG23583345 Vaibhav89gandhi KumarSa46032704 And for moving to Canada she asks my brother for 30 lacs apart frm whatever shell do thru misuseof498A Thats all recorded btw Shell not divorce him nor shell take FIR back amp madam will live in Canada happily ever after Thank you PoliceBathinda DGPPunjabPolice MenToo,"happily,Thank",positive
125.0,bt16jones I am very excited to announce that I will be continuing my academic and athletic career at The University of Mississippi Th,excited,positive
126.0,ssloading I would like to happily announce my commitment to the University Of Illinois UIUC24,"like,happily,commitment",positive
127.0,mccoym01 JtthaROC1 cuomolovebot ChrisCuomo BarackObama JoeBiden Thank you so much We dont have such a thing in Canada and thanks for the advise,Thank,positive
128.0,TeamCanada1972 Apr 1280 40 years ago today Terry Fox perhaps the greatest Canadian of our generation began his Marathon of Hope,greatest,positive
129.0,Noahpinion Definitely paves the way for California to secede from the US and join Canada The new province can be called Mexican Columbia,,neutral
130.0,CBCAlerts Nova Scotia is reporting 17 new COVID19 cases for a total of 445 New Brunswick has added 2 new cases for a total of 114,,neutral
131.0,paraicodonnell Were watching Gemini Man and Will Smith is taking a 2mile shot at a passenger on a highspeed train I may not be a d,,neutral
132.0,jacktodd46 Canada has lost 674 people to this tragedy despite a generally good response Adjusted for population that would mean the,"lost,tragedy,good",negative
133.0,HeathenLeader followed from Canada recommended by BResisting,recommended,positive
134.0,BBCWorld Dr Fauci who is leading the US response to coronavirus says the country could have saved lives with earlier action http,leading,positive
135.0,breakingavnews Air Canada reconfigures passenger cabins on three 777 aircraft to transport vital supplies and necessary cargo https,,neutral
136.0,AlzDisInt Another insightful member webinar on dementia amp COVID19 with participants from India Canada US New Zealand France Bra,insightful,positive
137.0,MERCnewsroom There may not be any students on campus right now but KState administrators are charging ahead on a strategic enrollmen,right,positive
138.0,CPHOCanada The Government of Canada is working with provincial and territorial governments to respond to COVID19 and were looking f,,neutral
139.0,stephenharper From our family to yours Laureen and I are wishing a Happy Easter to everyone observing in Canada and around the world,Happy,positive
140.0,sidneychest Well nowQuebec is talking about separation from Canada againBonusCan we help you pack your bagsDont ca,Well,positive
141.0,CBCAlerts More CBCNews on COVID19 in Nova Scotia Province reports 17 new cases of COVID19 including 4 at Halifax seniors residenc,,neutral
142.0,matthewlesh University College London professor Philip Beales warns that Public Health England is still holding back testingBeales,,neutral
143.0,415holgate Trudeau on saving the elderly from coronavirus They fought for us all those years ago And today we fight for them We wi,,neutral
144.0,KhaledBeydoun None of your business you Stray dog from Arkansas University,,neutral
145.0,bigmac373737 marcusguest thelondonblog CarlZha Although if they asked it looks like Canada would,like,positive
146.0,MoveUPTogether Some love for s own Dr Bonnie Henry from south of the border COVID19 bchealth,love,positive
147.0,twmentality1 Dr Armen Henderson a University of Miami doctor who made headlines for testing homeless people for COVID19 was ha,,neutral
148.0,Forbes From WeWorks Adam Neumann to Canada Goose chief Dani Reiss 267 people who were billionaires a year ago did not make it onto F,,neutral
149.0,CBCAlerts More CBCNews on COVID19 in New Brunswick 2 new cases of COVID19 detected 2 more people hospitalized,,neutral
150.0,asemota I remember a prominent African university VC telling us to change the slogan on souvenir tshirts given after onboarding their,prominent,positive
151.0,bgirl0001 It wasnt Canada that missed anything It was our bloody inept Liberal government and their lackey CPHOCanada They,"missed,bloody,inept,lackey",negative
152.0,CBCAlerts More CBCNews on COVID19 in Newfoundland and Labrador announces 1 new coronavirus case,,neutral
153.0,emeczy Rwanda is building its own Silicon Valley in partnership with Carnegie Mellon University It is called Kigali Innovation City,Innovation,positive
154.0,MaxFineDay The punishment for stealing is not deathThe punishment for substance use to escape intergenerational or personal trauma,"stealing,trauma",negative
155.0,GoNeoshoHoops Congrats to JB Breeland on committing to the University of North Alabama SHOtime,,neutral
156.0,QJohnAugustus Patriots from Canada at the readyWWG1WGA WWG1WGAWORLDWIDE GREATAWAKENING QANON,,neutral
157.0,najmadoc Docs4GunControl Dont bring your American gun politics into Canada please,,neutral
158.0,CarterNeuman22 Honored to have received my first D1 scholarship offer to go to school and play football at Northern Colorado Universi,Honored,positive
159.0,Want to work at Wine Rack a division of Arterra Were hiring in NorthBay ON Click for details Retail,work,positive
160.0,Sharing an oldie but a goodie I hope youll enjoy this post from the past Canoes castles and Quebecois Why,enjoy,positive
161.0,iconcoclastary Thread This is Abbas Khan He was my senior at university and was from Swat He belonged to a local influential poli,influential,positive
162.0,RealSaavedra population 328000000FranceGermanyItaly population 324000000Coronavirus cases 526396,,neutral
163.0,BBCWorld Dr Fauci who is leading the US response to coronavirus says the country could have saved lives with earlier action http,leading,positive
164.0,TooPhatCanada fredward18 Its rough because Canada Post is a huge factor We want to get deals up to yall,rough,negative
165.0,TIinExile Screenshots in the above tweets have been excerpted from the book Roots of North Indian Shiism in Iran and Iraq by JRI C,,neutral
166.0,my country Canada,,neutral
167.0,Newsweek China is censoring research on COVID19 origins deleted page on Wuhan university website suggests,,neutral
168.0,VersaillesDZine anthonyfurey These pics show you are team canAda The best and the brightest Stephen Harper Just like RosieBarton,"best,brightest,like",positive
169.0,terencecorcoran What theHealth Canada says rapid blood test for COVID19 remains under review until a greater national strategy o,rapid,positive
170.0,CBCAlerts Ontario is reporting 401 new cases of COVID19 bringing the provincial total to 7049 According to CBC tallies there have,,neutral
171.0,GaryAnglin22 Blessed to receive a offer from University of Northern Colorado CoachThamas66 BloodhoundsAHS,,neutral
172.0,spikesmom4 TheWestBlock gthomasCJca I believe that the survival instincts of progressives ruling western democracies is in fact to run to those sources that allow for grift in exchange for ideologic belief China the UN WHO these are some of the global organizations that love Canada and Canadians Support wo,"survival,love,Support",positive
173.0,CBCNews Health Canada says a rapid coronavirus blood test manufactured in Canada and being shipped to the United States is not ready f,"rapid,ready",positive
174.0,RobertFiene After a great phone call with lapanjeremy I am humbled to announce that I have received a PWO offer from Sacramento,great,positive
175.0,CPHOCanada Wondering how you can help with Canadas COVID19 response Check out the National COVID19 Volunteer Recruitment Campaign,,neutral
176.0,bobbyrose kayla23307512 JohnAll63815927 PDykie grafikalrob greatrighthope JustinSchafer1 phattyliva MonicaFibonacci BrenBlak,,neutral
177.0,TsinghuaUni The Tsinghua University Education Foundation is dedicating 150 million RMB to scientific research on COVID19 A number o,,neutral
178.0,TundeTASH Vibes asides Canada na correct country Like correct correct country,"correct,Like,correct,correct",positive
179.0,cr3ativ2 cameronks University of Chicago found these oxygen helmets effective,effective,positive
180.0,nimmityanna Im especially proud that AB has sent extra PPE to some provinces However Im not proud of the fact that our Prime Mi,"proud,proud",positive
181.0,BBCWorld Dr Fauci who is leading the US response to coronavirus says the country could have saved lives with earlier action http,leading,positive
182.0,I really posed to be waist deep in some Magaritas in Canada with my dawg for her birthday ShaeLVB,,neutral
183.0,spookybri1 why are all the baddies in canada omw,,neutral
184.0,it is therefore we request BBhuttoZardari to immediately order for establishment of medical you yourself had asked the Sindh government few months back to find out t feasibilityunless you establish it health sector cannot take roots in Tharsooner the better,better,positive
185.0,anthonyfurey Thats just about everyone in Canada except the CBC and the Liberals,,neutral
186.0,QammarA90761692 StudentsRejectUndueFeeHigher education in Pakistan shame on u university mafia and hecpkofficial ShafqatMahmoo,shame,negative
187.0,globeandmail Emergency officials in New Brunswick warn of potential flooding this week,Emergency,negative
188.0,bigmac373737 marcusguest thelondonblog CarlZha Meng was arrested for ostensibly violating sanctions that Canada didnt even participate in Hardly rule of law issue we dont extradite Canadians to US for violating US sanctions on Cuba,issue,negative
189.0,republic COVID19 Canada passes bill to pay for employees salaries to avoid mass layoffs,,neutral
190.0,emeczy Rwanda is building its own Silicon Valley in partnership with Carnegie Mellon University It is called Kigali Innovation City,Innovation,positive
191.0,MaryHelda Women are not second class citizens Prof Maria Musoke Deputy Vice Chancellor of Kyambogo University ZimbaWomen in,Vice,negative
192.0,BirdWatchDaily Photo of the day Jack McDonald shared this photo of an Osprey in Marshfield Massachusetts to our amp Canada Galle,,neutral
193.0,FBCanada Health information service is available to answer your questions about COVID19 and your eye health Please support our work,"available,support,work",positive
194.0,CPHOCanada Wondering how you can help with Canadas COVID19 response Check out the National COVID19 Volunteer Recruitment Campaign,,neutral
195.0,StarboyDaSilva According to University of Ghana this can help protect you from covid19,protect,positive
196.0,isaacmaweu The speed with which masks are being made in Kitui ventilators at Kenyatta University amp PPEs at Dedan Kimathi University i,,neutral
197.0,JayDee64861546 denisebatters Senator a few honest questionsHow long will you stand for this Liberal government destroying the mai,honest,positive
198.0,Laurestar US UK Canada are turning to China for help Please stop hurting yourself with these Anti Chinese sentiments and propagan,hurting,negative
199.0,CardPurchaser GIVEAWAY TIME One lucky winner gets these Connor McDavid and Kevin Lowe cards Shipping to US and Canada onlyTo ente,"lucky,winner",positive
200.0,fatss ive got family in Canada America Australia n South Africa have i been there no but have i been to India 8 times yeah,,neutral
201.0,HeatherWellsCBC No new COVID19 cases 1 false positive on Easter Sunday,"false,positive",neutral
202.0,CBCAlerts More CBCNews on COVID19 in Manitoba No new cases 1 false positive on Easter Sunday,"false,positive",neutral
203.0,MwauraIsaac1 Kenyatta University doesnt just produce ventilators only Once upon a time with Gladys Wanga as KUSA student leaders w,,neutral
204.0,Veronica Instacart We only got it in Canada last year,,neutral
205.0,DrJacobsRad The tab so far for closing our economy73 BILLIONThe cost of a mask for people in public spaces 25Why is there,,neutral
206.0,courage99peace This is so unbelievable and a sign of the future of Canada well planned insensitive to our rights Brought on and paid for by Liberals and or Liberal benefactors Is this the future you want for your children,"unbelievable,well,insensitive",negative
207.0,clerysboy cocaine is a hell of a drug firearms tracking with rfid is a thing alreadyyou can request a formal trace through atfs etracehmm and yes Canada is moose country lol,hell,negative
208.0,NC5 As of 1230 ET Saturday at least 18860 people have died in the as a result of the new coronavirus according to a runn,died,negative
209.0,Chellaney Remember my tweet 18 days ago about a South China University of Technology study The study concludes that the killer coron,killer,negative
210.0,Update Four rockets were fired at a house next to the University of Tripoli 9yearold boy named Yamin dies mother father Youssef are 8 years old and the little girl Sama is 4 years old everyone is in intensive careLibya NoPlaceToStaySafe Libia,dies,negative
211.0,ericvhileman jessemckinley izzoelizabeth NYGovCuomo Around March 4th Corona Virus cases were spread it hit Yeshiva University and Columbia that should have been the day the decision to close all those establishments surrounding it as people get on trains buses cars and mingle w other people in high density areas,Virus,negative
212.0,ChidiNwatu realDonaldTrump People Trump has blamed for his deadly incompetence WHO China Media Canada Governors D,"Trump,deadly,incompetence",negative
213.0,BBCWorld Dr Fauci who is leading the US response to coronavirus says the country could have saved lives with earlier action http,leading,positive
214.0,Work bird list seen or heard so far tonightBlue TitGreat TitLongtailed TitGreen Woodpecker LBB GullH GullBlackbirdMistle Thrush Song ThrushRobinWrenMallardCanada GooseCarrion CrowMagpieGreenfinchGoldfinchWoodpigeon PlusGrey SquirrelFoxLion Captive,Work,positive
215.0,CBCCanada Lens Mill Stores create thousands of masks gowns and caps to help protect people during COVID19 h,protect,positive
216.0,Just a barn napanee ontario makingmemories outwalking daysout sightseeing holiday canada Napanee Ontario,,neutral
217.0,sunlorrie Canada postpones download of Flight 752 black boxes indefinitely cdnpoli,,neutral
218.0,pbhushan1 Amit Malviyas fake news fountain 16 pieces of misinformation spread by the BJP IT cell chiefampofficial head of the Hindutv,fake,negative
219.0,Tjstrick11 Blessed to receive an offer from Arkansas State University,,neutral
220.0,Very sad state She feels so bad for having to quit I feel for her,"sad,bad",negative
221.0,BBCWorld Dr Fauci who is leading the US response to coronavirus says the country could have saved lives with earlier action http,leading,positive
222.0,Steelersdepot With the 18th pick in the firstround of the 2020 NFL Draft the Steelers select safety Minkah Fitzpatrick minkfitz2,,neutral
223.0,PeaceOnEarth222 Why was eugenicist selfstyled medical expert without a medical or university degree BillGates on BBC Breakfast E,,neutral
224.0,Noble14 Am not trying to brag Nnewi in Anambra State have produced more business moguls than Harvard University Argue with your K,,neutral
